code_insee,commune,region,population_2023,part_65_plus_pct,revenu_median_uc,loyer_m2,nb_audioprothesistes_2022,nb_audioprothesistes_2026,nb_orl_liberaux_2026,lat,lon,dist_audio_km,score_v2,sans_audio_5k,prioritaire_v2,apl,equipee
21355,Longvic,27 - Bourgogne-Franche-Comté,8896,21.93,24550.0,12.2070368051804,0.0,0,0,47.288117692307694,5.051949743589743,3.2,30360.604907463465,True,False,99.41443893842984,0
21390,Marsannay-la-Côte,27 - Bourgogne-Franche-Comté,5433,24.28,26780.0,12.0333577994949,0.0,0,0,47.27838826923077,4.983150192307692,2.7,30470.288098422912,True,False,87.72155517329152,0
22046,Le Mené,53 - Bretagne,6556,24.35,24120.0,8.24032295700092,0.0,1,0,48.28685646288209,-2.5272724890829696,0.0,30219.86207856372,False,False,47.68828005338301,1
22055,Binic-Étables-sur-Mer,53 - Bretagne,7041,36.74,29430.0,11.5896376255706,0.0,0,0,48.61421534883721,-2.836828372093024,4.5,32843.181336916496,True,True,87.78004182426331,0
22093,Lamballe-Armor,53 - Bretagne,17241,24.99,26700.0,11.2954315992746,0.0,7,0,48.45662979166666,-2.515949125,0.0,28398.265850092568,False,False,75.87664680545684,1
22176,Plédran,53 - Bretagne,6933,18.65,25380.0,10.6022046318008,0.0,0,0,48.44176051724138,-2.7403320689655164,4.1,30176.43807887222,True,False,102.24572592699766,0
22225,Ploumagoar,53 - Bretagne,5414,23.85,25790.0,10.4967922052947,0.0,0,0,48.532082376237625,-3.1111282178217827,3.5,30507.11285156276,True,False,74.23304312204849,0
22251,Pordic,53 - Bretagne,7454,25.71,28690.0,11.6038978104684,0.0,0,0,48.570791834862376,-2.8313791743119263,5.0,31825.684515163503,True,True,102.5759220160322,0
22360,Trégueux,53 - Bretagne,8450,29.21,26140.0,11.0387325338769,0.0,2,0,48.47840564705883,-2.746297294117647,0.0,30062.955022115428,False,False,104.09345003157706,1
22389,Yffiniac,53 - Bretagne,5074,19.75,26370.0,10.3376058927214,0.0,1,0,48.467562048192775,-2.681550120481928,0.0,29456.710336879965,False,False,94.25660403110976,1
