rang,commune,region,population,part_65_plus_pct,nb_audioprothesistes_2022,score,desert_5000,prioritaire
3033,Compains,84 - Auvergne-Rhône-Alpes,128,30.5,0,38381.67979808648,False,False
3034,Montagnac,76 - Occitanie,4330,16.8,0,38381.64631253019,False,False
3035,Villersexel,27 - Bourgogne-Franche-Comté,1428,32.2,0,38381.54203579913,False,False
3036,Stenay,44 - Grand Est,2520,28.9,0,38381.48647559624,False,False
3037,Bouhy,27 - Bourgogne-Franche-Comté,463,36.0,0,38381.462886706104,False,False
3038,Monlaur-Bernet,76 - Occitanie,164,34.7,0,38381.36692449948,False,False
3039,La Trinité-Porhoët,53 - Bretagne,674,29.5,0,38380.65053810208,False,False
3040,Cabriès,93 - Provence-Alpes-Côte d'Azur,9834,20.0,0,38380.31686933705,True,True
3041,Tourcoing,32 - Hauts-de-France,97442,12.7,6,38380.014833444475,False,False
3042,Fabas,76 - Occitanie,199,38.6,0,38379.94257910317,False,False
3043,Juvinas,84 - Auvergne-Rhône-Alpes,172,34.3,0,38379.70687326225,False,False
3044,Saint-Trojan-les-Bains,75 - Nouvelle-Aquitaine,1204,33.5,0,38379.400074468875,False,False
3045,Doullens,32 - Hauts-de-France,5998,23.7,2,38379.10048901678,False,False
3046,Ravières,27 - Bourgogne-Franche-Comté,728,31.6,0,38378.89578816179,False,False
3047,Valence-d'Albigeois,76 - Occitanie,1308,34.6,0,38378.799158341404,False,False
3048,Cros,76 - Occitanie,245,31.7,0,38378.663931945885,False,False
3049,Escroux,76 - Occitanie,47,51.1,0,38378.58285909809,False,False
3050,Mourenx,75 - Nouvelle-Aquitaine,6341,28.3,2,38378.51698004924,False,False
3051,Arvert,75 - Nouvelle-Aquitaine,3489,30.0,0,38378.25834980063,False,False
3052,Mussy-sur-Seine,44 - Grand Est,1019,31.3,0,38378.16955472144,False,False
3053,Rivarennes,24 - Centre-Val de Loire,547,31.4,0,38377.931424971015,False,False
3054,Antilly,44 - Grand Est,175,40.6,0,38377.921277024485,False,False
3055,Lau-Balagnas,76 - Occitanie,520,34.9,0,38377.70904230021,False,False
3056,Garges-lès-Gonesse,11 - Île-de-France,42956,9.8,3,38377.47457880662,False,False
3057,Daglan,75 - Nouvelle-Aquitaine,533,36.0,0,38376.943310540584,False,False
3058,Senonches,24 - Centre-Val de Loire,3060,32.2,1,38376.71523890996,False,False
3059,Saint-Saturnin,24 - Centre-Val de Loire,424,30.7,0,38376.645050923085,False,False
3060,Wassy,44 - Grand Est,2858,26.6,0,38376.589639957616,False,False
3061,Chiddes,27 - Bourgogne-Franche-Comté,338,31.7,0,38376.23042952573,False,False
3062,Lanton,75 - Nouvelle-Aquitaine,7098,33.1,0,38376.1942477889,True,True
3063,Marnes-la-Coquette,11 - Île-de-France,1792,17.2,0,38375.463156038924,False,False
3064,Vanzay,75 - Nouvelle-Aquitaine,246,32.1,0,38375.44287261919,False,False
3065,Authiou,27 - Bourgogne-Franche-Comté,46,51.2,0,38375.1870126029,False,False
3066,Hannonville-sous-les-Côtes,44 - Grand Est,560,35.2,0,38375.00688953721,False,False
3067,Bonny-sur-Loire,24 - Centre-Val de Loire,1909,31.0,0,38374.52334098863,False,False
3068,Étretat,28 - Normandie,1242,35.3,0,38374.052888488106,False,False
3069,Forciolo,94 - Corse,80,48.1,0,38373.60203735994,False,False
3070,Le Nouvion-en-Thiérache,32 - Hauts-de-France,2584,23.7,0,38373.39274864509,False,False
3071,Limanton,27 - Bourgogne-Franche-Comté,239,34.5,0,38373.32592008937,False,False
3072,Landos,84 - Auvergne-Rhône-Alpes,885,28.8,0,38373.22782364398,False,False
3073,Le Rouget-Pers,84 - Auvergne-Rhône-Alpes,1237,34.1,0,38372.74962569631,False,False
3074,Jaujac,84 - Auvergne-Rhône-Alpes,1253,34.6,0,38372.70375703093,False,False
3075,La Jonchère,52 - Pays de la Loire,460,30.7,0,38372.35617345721,False,False
3076,Maillezais,52 - Pays de la Loire,929,34.1,0,38372.303544716415,False,False
3077,Château-Verdun,76 - Occitanie,43,51.2,0,38372.28085442505,False,False
3078,Thiron-Gardais,24 - Centre-Val de Loire,985,31.9,0,38372.10031962205,False,False
3079,Pietralba,94 - Corse,503,30.3,0,38371.9038828221,False,False
3080,Lamazière-Basse,75 - Nouvelle-Aquitaine,298,32.9,0,38371.90118612495,False,False
3081,Épizon,44 - Grand Est,159,32.1,0,38371.80692152879,False,False
3082,Saint-Clément-de-Rivière,76 - Occitanie,4923,30.9,1,38371.72361194937,False,False
3083,Saint-Jory-de-Chalais,75 - Nouvelle-Aquitaine,595,28.5,0,38371.67908746679,False,False
3084,Sail-les-Bains,84 - Auvergne-Rhône-Alpes,200,31.3,0,38370.573138827946,False,False
3085,Picherande,84 - Auvergne-Rhône-Alpes,333,30.5,0,38370.3824607006,False,False
3086,Fontrieu,76 - Occitanie,940,30.8,0,38370.20453812763,False,False
3087,Saint-Jean-Delnous,76 - Occitanie,411,36.5,0,38369.28864961076,False,False
3088,La Chapelotte,24 - Centre-Val de Loire,143,33.8,0,38368.272253597075,False,False
3089,Bessais-le-Fromental,24 - Centre-Val de Loire,302,30.8,0,38368.07354744036,False,False
3090,Trévières,28 - Normandie,919,30.2,0,38367.939439600996,False,False
