code_insee,commune,region,population_2023,part_65_plus_pct,revenu_median_uc,loyer_m2,nb_audioprothesistes_2022,nb_audioprothesistes_2026,nb_orl_liberaux_2026,lat,lon,dist_audio_km,score_v2,sans_audio_5k,prioritaire_v2,apl,rang
62473,Isbergues,32 - Hauts-de-France,8650,24.37,22440.0,10.163179638869,1.0,0,0,50.61644909090909,2.4574363636363645,6.1,32491.81342924315,True,True,52.83885015025704,95
91330,Lardy,11 - Île-de-France,5530,15.98,32110.0,15.0695885756206,0.0,0,0,48.52638358490566,2.268261320754717,7.3,32491.695077525448,True,True,47.45615160273879,96
74263,Sciez,84 - Auvergne-Rhône-Alpes,6447,16.0,36970.0,15.3966749282264,0.0,0,0,46.32623776315789,6.374862105263159,5.3,32489.438858051843,True,True,105.61882573081424,97
57323,Hettange-Grande,44 - Grand Est,7772,16.26,36690.0,16.2974975009098,0.0,0,0,49.41859206349208,6.152445396825398,5.2,32487.08468455747,True,True,34.57660975005591,98
78160,Chevreuse,11 - Île-de-France,5502,20.86,38400.0,18.3001411117597,0.0,0,0,48.70748757575758,2.036674090909091,3.1,32473.47833089896,True,True,62.86644510133894,99
78117,Buc,11 - Île-de-France,5816,19.75,39130.0,20.368366226015,1.0,0,0,48.77311783783784,2.1255743243243246,2.8,32471.62301280945,True,True,95.49531871005809,100
97210,Le François,02 - Martinique,15778,24.29,,15.3843596066027,0.0,0,0,14.61359190625,-60.89195334375,7.8,32468.752030914973,True,True,29.59645700712469,101
29199,Plouigneau,53 - Bretagne,5014,24.55,26020.0,8.41819823040831,0.0,0,0,48.5735905780347,-3.7081009248554913,8.4,32459.56290593237,True,True,83.57783498887382,102
30221,,76 - Occitanie,5529,21.25,23330.0,10.2508604909474,,0,0,44.04392298245615,4.758486140350878,7.7,32452.634198137093,True,True,96.49824438351564,103
78397,Le Mesnil-Saint-Denis,11 - Île-de-France,7276,20.4,36770.0,18.133236539708,0.0,0,0,48.74022492307692,1.9636835384615383,3.8,32449.64637250825,True,True,60.94350603506232,104
49307,Loire-Authion,52 - Pays de la Loire,16765,19.78,27910.0,10.8225665398982,0.0,0,0,47.470478796680496,-0.3691536514522821,8.3,32440.889351792008,True,True,73.8661322152699,105
68042,Blotzheim,44 - Grand Est,5282,17.49,39080.0,14.1771244357667,0.0,0,0,47.60370155555555,7.493271555555557,4.0,32381.579194405156,True,True,47.6486999226392,106
