code_insee,commune,region,population_2023,part_65_plus_pct,revenu_median_uc,loyer_m2,nb_audioprothesistes_2022,nb_audioprothesistes_2026,nb_orl_liberaux_2026,lat,lon,dist_audio_km,score_v2,sans_audio_5k,prioritaire_v2,apl,dist_audio_km_v21,apl_v21
24107,La Chapelle-Faucher,75 - Nouvelle-Aquitaine,395,32.32,23310.0,8.77017568087236,0.0,0,0,45.37251948717948,0.7608242307692307,13.2,35658.03024021545,False,False,59.58832712884082,13.2,59.58832712884082
24108,La Chapelle-Gonaguet,75 - Nouvelle-Aquitaine,1049,22.59,27500.0,8.881102484796,0.0,0,0,45.231288493150686,0.6180958904109589,3.7,30620.694798288707,False,False,79.33489222521402,3.7,79.334892225214
24109,La Chapelle-Grésignac,75 - Nouvelle-Aquitaine,103,33.33,,10.1219492454119,0.0,0,0,45.39113024390244,0.3392068292682926,16.2,36358.3829168343,False,False,23.498433218041868,16.2,23.498433218041864
24110,La Chapelle-Montabourlet,75 - Nouvelle-Aquitaine,56,37.5,,10.1219492454119,0.0,0,0,45.39371391304348,0.455454347826087,19.1,37935.109034168745,False,False,39.35878102823439,19.1,39.35878102823438
24111,La Chapelle-Montmoreau,75 - Nouvelle-Aquitaine,75,51.35,,10.1219492454119,0.0,0,0,45.44721146341463,0.6441343902439025,9.9,35640.21975269312,False,False,45.914165495838745,9.9,45.914165495838745
24113,La Chapelle-Saint-Jean,75 - Nouvelle-Aquitaine,82,34.52,,8.20256810937462,0.0,0,0,45.19461958333333,1.1631608333333334,13.3,35214.0311556072,False,False,48.6383631619347,13.3,48.638363161934706
24114,Chassaignes,75 - Nouvelle-Aquitaine,78,28.05,,8.56722034050322,0.0,0,0,45.25162350000001,0.2502525,6.5,31866.619806773306,False,False,35.07027246563197,6.5,35.07027246563197
24115,Château-l'Évêque,75 - Nouvelle-Aquitaine,2158,25.26,26290.0,8.881102484796,0.0,0,0,45.26079460784313,0.679449705882353,5.9,31581.750187609723,False,False,83.50479646208446,5.9,83.50479646208444
24116,Châtres,75 - Nouvelle-Aquitaine,180,28.26,23490.0,9.95814798909178,0.0,0,0,45.18648105263158,1.193211403508772,10.9,34323.133219565105,False,False,52.86219884039956,10.9,52.862198840399564
24117,Les Coteaux Périgourdins,75 - Nouvelle-Aquitaine,554,20.73,27460.0,10.0914083003177,0.0,0,0,45.0921305882353,1.3716885882352938,6.7,31690.54316901133,False,False,81.81514256954854,6.7,81.81514256954853
