code_insee,commune,region,population_2023,part_65_plus_pct,revenu_median_uc,loyer_m2,nb_audioprothesistes_2022,nb_audioprothesistes_2026,nb_orl_liberaux_2026,lat,lon,dist_audio_km,score_v2,sans_audio_5k,prioritaire_v2,apl
32459,Valence-sur-Baïse,76 - Occitanie,1147,34.39,22300.0,8.67384699843003,0.0,0,0,43.8699397810219,0.3626153284671532,10.9,35345.63047786404,False,False,59.76944335657184
32460,Vergoignan,76 - Occitanie,324,25.73,26340.0,8.35342972498725,0.0,0,0,43.723588958333345,-0.18972,6.4,31797.634006957793,False,False,53.70201320017519
32461,Verlus,76 - Occitanie,124,20.16,,9.11725499779164,0.0,0,0,43.601105454545454,-0.2009893181818182,10.7,32787.47017909979,False,False,43.50470349628996
32462,Vic-Fezensac,76 - Occitanie,3577,33.7,22880.0,9.18198236937901,1.0,1,0,43.76858,0.29795098130841124,0.0,31139.993369214357,False,False,62.599482588719006
32463,,76 - Occitanie,530,33.41,23590.0,9.11725499779164,,0,0,43.5990825,-0.14016159090909092,6.9,33155.20485686185,False,False,44.35699513185818
32464,Villecomtal-sur-Arros,76 - Occitanie,831,29.75,22850.0,8.97969000814358,0.0,0,0,43.39964151515152,0.20062121212121214,12.2,35197.65452544734,False,False,40.562466945559784
32465,Villefranche,76 - Occitanie,169,30.36,23380.0,7.38908068601093,0.0,0,0,43.41856384615385,0.7323220512820513,14.4,35838.61460755502,False,False,41.433772790452004
32466,Viozan,76 - Occitanie,92,42.55,,8.45478102063581,0.0,0,0,43.39606864864866,0.47076621621621634,12.2,35590.65410517899,False,False,22.864305690831618
32467,,76 - Occitanie,148,19.58,27610.0,8.74417596583251,,0,0,43.595167999999994,0.7944901818181819,15.8,35164.5716917697,False,False,57.758788370833756
32468,Aussos,76 - Occitanie,64,31.25,,8.45478102063581,0.0,0,0,43.37430274509804,0.6431896078431371,9.1,33220.49094103781,False,False,39.44785908774702
33001,,75 - Nouvelle-Aquitaine,2048,18.84,23470.0,10.4324642704022,,0,0,45.011707540983615,-0.12516950819672132,3.3,30385.47707494158,False,False,50.41827166830192
33002,Aillas,75 - Nouvelle-Aquitaine,786,25.56,23390.0,11.1159933073301,0.0,0,0,44.483380000000004,-0.06879083333333333,11.5,34398.67900569968,False,False,88.8396418233532
33003,Ambarès-et-Lagrave,75 - Nouvelle-Aquitaine,17644,15.6,24210.0,13.5381483312455,1.0,3,0,44.939948717948724,-0.5008070512820512,0.0,29102.138830896016,False,False,108.49581648942214
