rpps_structure_id,code_insee,code_insee_geo,commune,region,retail,type5,brand,owner_on_site,practitioners_topcoded_4,concurrents_10km,concurrents_20km,concurrents_30km,alternatives_10km,dist_concurrent_km,n_sites_commune,pop_10km,pop65_10km,demand65_per_site,apl_v21,entrant_commune,strate,poids,web_ok,prix_affiche,grille_tarifs,sante100,classe2,essai_gratuit,bilan_gratuit,rdv_en_ligne,devis,garantie_suivi
R10100000765911,60057,60057,Beauvais,32 - Hauts-de-France,True,unbranded independent,,1,1,14.0,14.0,36.0,14.0,0.0,15,83091,15254.2376,1016.9491733333332,76.6997185556088,False,,,,,,,,,,,,
R10100000765912,94042,94042,Joinville-le-Pont,11 - Île-de-France,True,unbranded independent,,1,2,553.0,939.0,1189.0,359.0,0.0,4,2857861,441678.1391,797.2529586642598,115.05003125806196,False,,,,,,,,,,,,
R10100000765913,36044,36044,Châteauroux,24 - Centre-Val de Loire,True,brand network,Audilab,1,2,6.0,6.0,13.0,6.0,0.0,6,62624,15987.500100000005,2283.9285857142863,58.94391871386597,False,,,,,,,,,,,,
R10100000765933,57672,57672,Thionville,44 - Grand Est,True,unbranded independent,,0,1,13.0,30.0,53.0,8.0,0.0,7,178594,34107.8879,2436.2777071428573,49.50138484478633,False,,,,,,,,,,,,
R10100000765937,50082,50082,Bricquebec-en-Cotentin,28 - Normandie,True,unbranded independent,,1,1,0.0,16.0,19.0,0.0,12.2,1,17924,3764.3739,3764.3739,55.17472309240304,True,0 | indépendant,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
R10100000765938,50236,50236,,28 - Normandie,True,unbranded independent,,0,1,0.0,0.0,14.0,0.0,20.6,1,11988,3556.8425,3556.8425,32.16798494361952,False,0 | indépendant,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
R10100000765939,50417,50417,Quettehou,28 - Normandie,True,unbranded independent,,0,1,0.0,4.0,17.0,0.0,10.5,1,11712,3485.2281,3485.2281,34.68604148017766,True,0 | indépendant,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
R10100000765940,09324,09324,Varilhes,76 - Occitanie,True,unbranded independent,,0,1,11.0,19.0,29.0,11.0,3.3,1,39278,8787.347,732.2789166666666,125.73149650656958,True,10+ | indépendant,3.7745901639344255,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
R10100000765948,13209,13055,Marseille,,True,unbranded independent,,1,1,141.0,198.0,269.0,103.0,0.0,12,870186,169546.066,1193.98638028169,97.86981065124672,False,,,,,,,,,,,,
R10100000765949,13204,13055,Marseille,,True,unbranded independent,,0,1,141.0,198.0,269.0,103.0,0.0,12,870186,169546.066,1193.98638028169,118.11324130090064,False,10+ | indépendant,3.7745901639344255,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0
