site_id,domain,web_ok,site_page_ok,domain_ok,grille_tarifs,n_pages_domaine,prix_affiche,prix_affiche_page,sante100,sante100_page,classe2,classe2_page,essai_gratuit,essai_gratuit_page,bilan_gratuit,bilan_gratuit_page,rdv_en_ligne,rdv_en_ligne_page,devis,devis_page,garantie_suivi,garantie_suivi_page,tarifs_mot,tarifs_mot_page,marques,prix_min,n_chars_total
R10100000694435,auditionsante.fr,1,1,1,1,3,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,7.0,3500.0,87635
R10100000709002,audiolis.fr,1,1,1,0,3,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,,23693
R10100000846081,entendre-sallanches.fr,1,1,1,0,1,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,11549
R10100000769377,magasins.ecoutervoir.fr,1,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,6498
R10100000771700,ideal-audition.fr,1,1,1,0,3,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,,89300
R10100000700801,krys.com,1,1,1,1,3,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,,64590
R10100000706176,marnay-audition.fr,1,1,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,,12090
R10100000692238,magasins.ecoutervoir.fr,1,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,6467
R10000004107813,krys.com,1,1,1,1,3,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,,88062
R10100000764267,krys.com,1,1,1,1,3,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,10.0,,116446
R10100000691716,optiqueriso.com,1,1,1,0,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,9570
